Sample;Density;ModulusOfElasticity
DSM Somos WaterShed XC 11122 Water-resistant resin for stereolithography;1.12;2.77
DSM Somos WaterClear Ultra 10122 Optically Clear, Colorless, Rigid, Stereolithography Resin;1.13;2.88
DSM Somos 9420 Epoxy Resin for Stereolithography;1.13;0.7
DSM Somos 9110 Epoxy Photopolymer;1.13;1.59
DSM Somos NeXT Stereolithography (SLA) Prototyping Polymer;1.17;2.43
Eastman Amphora™ AM1800 3D Polymer;1.27;1.9
Eastman Amphora™ SP1621 3D Polymer Powder;0.99;0.14
Versalis Impressio HIPS E05 3D Printing Filament Grade High Impact Polystyrene;1.04;1.9
Versalis Impressio ABS B 10 3D Printing Filament Grade ABS Polymer;1.04;2.35
EOS HT-23 PEEK, 23% Carbon Fiber Reinforced;1.39;6.15
EOS PA 1101 Nylon 11;0.99;1.6
EOS PA 1102 Nylon 11;0.99;1.58
EOS FR-106 Nylon 11;1.07;1.39
EOS PA 2200 Nylon 12;0.93;1.65
EOS PA 2201 Nylon 12;0.93;1.7
EOS PrimePart FR (PA 2241 FR) Nylon 12, Flame Retardant;1.0;1.9
EOS PA 2210 FR Nylon 12, Flame Retardant;1.06;2.4
EOS PA 3200 GF Nylon 12, Glass Bead Filled;1.2;3.2
EOS Alumide Nylon 12, Aluminum Filled;1.36;3.8
EOS TPU 1301 Flexible Polymer Material;1.11;0.06
EOS PrimeCast 101 Polystyrene;0.77;1.6
EOS CarbonMide PA12-CF for 3D Printing;1.04;4.15
Essentium PA Additive Manufacturing Filament;1.12;1.91
Essentium PCTG Additive Manufacturing Filament;1.23;1.59
Essentium High Performance PLA Additive Manufacturing Filament;1.24;3.18
Essentium High Performance PLA- Annealed Additive Manufacturing Filament;1.24;3.38
Essentium TPU 90A Additive Manufacturing Filament;1.21;0.63
3D Systems RenShape SL 7820 Stereolithography Plastic;1.15;2.15
iSQUARED ABS X-TREME X130 Carbon Fibre Rapid Prototyping Polymer;1.04;4.51
iSQUARED PC/ABS Rapid Prototyping Polymer;1.18;1.95
iSQUARED Ultem 1010 Rapid Prototyping Polymer;1.27;2.78
iSQUARED Ultem 9085 Rapid Prototyping Polymer;1.33;2.26
Henkel Loctite IND405™ HDT50 High Elongation Clear Resin for 3D Printing;1.2;1.15
Markforged Onyx 3D Printed Polymer;1.2;1.4
Markforged Nylon 3D Printed Polymer;1.1;0.94
Markforged Carbon 3D Printed Composite;1.4;54.0
Markforged Kevlar 3D Printed Composite;1.5;27.0
Markforged Fiberglass 3D Printed Composite;1.5;21.0
Prodways PLASTCure Model 300 3D Printing Polymer;1.1;4.9
Prodways PLASTCure Rigid 10 500 3D Printing Polymer;1.6;7.95
Prodways PA12-S 1550 Powder for Laser Sintering;0.98;1.55
Prodways PA12-GFX 2550 Powder for Laser Sintering;1.35;2.55
Prodways PA12-L 1600 Powder for Laser Sintering;0.95;1.6
Prodways PA12-CF 6500 Powder for Laser Sintering;1.09;5.6
Prodways PA11-SX 1350 Powder for Laser Sintering;1.02;1.35
Prodways PA11-SX 1450 Powder for Laser Sintering;1.02;1.45
Prodways PA11-GF 3450 Powder for Laser Sintering;1.4;3.45
Prodways Ultrasint PA6 - X028 Powder for Laser Sintering;1.15;3.55
Prodways PA612-GB 3800 Powder for Laser Sintering;1.26;3.8
Prodways PP 1200 Powder for 3D Printing;0.89;1.25
Prodways Stark 3200 Powder for 3D Printing;1.28;3.2
Proto3000 Objet RGD525 High Temperature Prototyping Polymer;0.97;3.35
Proto3000 Objet FullCure720 Transparent Prototyping Polymer;1.19;2.5
Proto3000 Objet VeroClear FullCure810;1.04;2.5
Proto3000 Objet VeroGray FullCure850 Rigid Opaque Prototyping Polymer;1.17;2.5
Proto3000 Objet DurusWhite FullCure430 Polypropylene-like Prototyping Polymer;1.16;1.1
Proto3000 ABSi Fused Deposition Modeling Polymer;1.08;1.92
Proto3000 ABS-M30 Fused Deposition Modeling Polymer;1.04;2.41
Proto3000 PC Fused Deposition Modeling Polymer;1.2;2.28
Proto3000 PC-ABS Fused Deposition Modeling Polymer;1.2;1.92
Proto3000 PC ISO Fused Deposition Modeling Polymer;1.2;0.998
Proto3000 PPSF Fused Deposition Modeling Polymer;1.28;2.07
Proto3000 ULTEM* 9085 Fused Deposition Modeling Polymer;1.34;2.22
Selenis MIMESIS DP 301 Copolyester for 3D Printing;1.27;2.18
Solvay Specialty Polymers KetaSpire CF10 HC AM Filament PEEK, 10% carbon fiber;1.33;11.0
Solvay Specialty Polymers KetaSpire MS NT1 AM Filament PEEK;1.29;3.12
Solvay Specialty Polymers Radel MS NT1 AM Filament Polyphenylsulfone (PPSU);1.29;2.0
Solvay Specialty Polymers Solef PVDF AM Filament MSC NT 1;1.72;0.8
Solaxis Nylon PA11 Black or White SLS Polymer;1.03;1.02
Solaxis Nylon PA6 Flame Retardant Black SLS Polymer;1.3;3.6
Solaxis Polypropylene PP Natural SLS Polymer;0.89;1.4
Solaxis ABS-ESD7™ 3D Printing Polymer;1.04;2.4
Solaxis Antero™ 800NA PEKK-based FDM, Processed on Fortus 450mc;1.28;3.5
Solaxis Antero™ 800NA PEKK-based FDM, Processed on Stratasys F900;1.28;2.86
Solaxis Antero™ 840CN03 Carbon Nanotube Filled PEKK for FDM;1.27;3.09
Solaxis ASA 3D Printing Polymer;1.05;1.98
Solaxis FDM Nylon 12 3D Printing Polymer, Conditioned;1.0;1.21
Solaxis FDM Nylon 12 3D Printing Polymer, Dry;1.0;1.27
Solaxis FDM Nylon 12CF 3D Printing Polymer;1.15;4.9
Solaxis PC 3D Printing Polymer;1.2;1.95
Solaxis PC-ABS 3D Printing Polymer;1.1;1.9
Solaxis PC-ISO 3D Printing Polymer;1.2;2.0
Solaxis Ultem™ 1010 FDM thermoplastic;1.27;2.49
Solaxis Ultem™ 9085 3D Printing Polymer;1.34;2.21
Stratasys Antero™ 800NA PEKK-based FDM 3D Printing Polymer;1.28;3.2
Stratasys Biocompatible VeroGlaze MED620 3D Printing Polymer;1.17;2.8
Stratasys VeroDentPlus MED690 3D Printing Polymer;1.17;2.7
Stratasys Digital ABS Plus 3D Printing Polymer;1.17;2.8
Stratasys Diran 410MF07 Nylon-based thermoplastic FDM 3D Printing Polymer;1.16;1.57
Stratasys FDM TPU 92A 3D Printing Polymer;1.14;0.02
Stratasys PolyJet™ High Temperature Heat-Resistant Polyjet Material;1.17;3.35
Stratasys FDM Nylon 12CF™ 3D Printing Polymer with Carbon Fiber;1.19;6.25
Stratasys PLA 3D Printing Polymer;1.26;2.79
Stratasys PolyJet™ VeroUltraClear Transparent 3D Printing Polymer;1.19;1.75
Stratasys ABS-M30;1.05;2.35
Stratasys PC Polycarbonate for 3D Printing;1.2;2.17
Stratasys PC-ABS;1.1;1.89
Stratasys PPSF Polyphenylsulfone for 3D Printing;1.28;2.1
Stratasys Ultem 9085 for Rapid Prototyping;1.27;2.29
Stratasys ABS-ESD7™;1.07;2.21
Stratasys ABSplus™ P430;1.04;2.2
Stratasys ASA;1.08;2.07
Stratasys ULTEM™ 1010 PEI for 3D Printing;1.29;3.0
Stratasys RIGUR RGD450 Simulated Polypropylene 3D Printing Polymer;1.21;1.9
3D Systems VisiJet M100 3-D Printer Model Material;1.14;0.775
Ultimaker PLA Filament;1.24;2.35
Ultimaker Tough PLA Filament;1.22;1.82
Ultimaker Nylon Filament;1.14;0.579
Ultimaker CPE Filament;1.27;1.72
Ultimaker CPE+ Filament;1.18;1.35
Ultimaker TPU 95A Filament;1.22;0.026
Ultimaker PC Filament;1.19;2.01
Ultimaker PP Filament;0.89;0.3
Ultimaker ABS Filament;1.18;1.82
Zortrax Z-PEI 1010 Filament;1.27;2.5
Zortrax Z-PEI 9085 Filament;1.34;2.05
Zortrax Z-ABS 2 Filament;1.05;2.3
Zortrax Zortrax Resin Tough Clear;1.16;0.77
Zortrax Zortrax Resin Tough White/Grey;1.17;0.67
Zortrax Zortrax Resin Basic White, Ivory, Grey;1.09;2.08
Aclo Accutech TPO TPO030T9V Paintable Grade;0.965;1.35
A. Schulman DuraGrip™ DGR 6030 NC/BK Thermoplastic Elastomer (TPE);0.99;0.0
A. Schulman DuraGrip™ DGR 6040 NC/BK Thermoplastic Elastomer (TPE);0.99;0.0
A. Schulman DuraGrip™ DGR 6050 NC/BK Thermoplastic Elastomer (TPE);0.99;0.0
A. Schulman DuraGrip™ DGR 6060 NC Thermoplastic Elastomer (TPE);0.99;0.0
A. Schulman DuraGrip™ DGR 6070 NC Thermoplastic Elastomer (TPE);0.99;0.0
A. Schulman DuraGrip™ DGR 6080 NC/BK Thermoplastic Elastomer (TPE);0.99;0.00271
A. Schulman DuraGrip™ 6150 BK Melt Processable Elastomer;1.06;0.0
A. Schulman DuraGrip™ 6160 BK Melt Processable Elastomer;1.07;0.0
A. Schulman DuraGrip™ 6170 BK Melt Processable Elastomer;1.1;0.0
3D Systems DuraForm HST Composite Thermoplastic Elastomer for SLS Systems;1.2;5.61
3D Systems DuraForm ProX HST Composite Thermoplastic Elastomer for SLS Systems;1.12;4.12
Arkema Pebax 5533 SN 70 BLACK Polyether Block Amide (PEBA) (Dry);1.09;0.3
Bada BADAPRENE TPV 50D 5293 GF15 natural TPV-PP+EPDM;1.03;1.6
Borealis Daplen™ ED213AE TPO Compound;1.02;1.5
Borealis Daplen™ EE040AE TPO Compound;0.91;1.05
Borealis Daplen™ EE103AE TPO Compound;0.95;1.4
Borealis Daplen™ EF040AE TPO Compound;0.91;1.04
Borealis Daplen™ KB4436 TPO Compound;1.12;2.1
Borealis Daplen™ VB4411 TPO Compound;0.95;1.2
Borealis Daplen™ ED117AE Polypropylene TPO Compound;0.97;1.25
Celanese CoolPoly D8102 Thermally Conductive Thermoplastic Elastomer;1.3;0.025
Celanese CoolPoly E8101 Thermally Conductive Thermoplastic Elastomer;1.25;0.012
Network Polymers Softflex 0470;0.972;0.00969
Network Polymers Softflex 8103;1.12;0.029
Dow DT702 TPO;0.901;1.04
Dow TF0807 TPO;0.92;1.31
Dow INFUSE™ 9000 Olefin Block Copolymer;0.877;0.00329
Dow INFUSE™ 9007 Olefin Block Copolymer;0.886;0.00178
Dow INFUSE™ 9010 Olefin Block Copolymer;0.877;0.0034
Dow INFUSE™ 9100 Olefin Block Copolymer;0.877;0.00279
Dow INFUSE™ 9107 Olefin Block Copolymer;0.866;0.00161
Dow INFUSE™ 9500 Olefin Block Copolymer;0.877;0.00228
Dow INFUSE™ 9507 Olefin Block Copolymer;0.866;0.00149
Dow INFUSE™ 9530 Olefin Block Copolymer;0.887;0.00382
Dow INFUSE™ 9807 Olefin Block Copolymer;0.866;0.0013
Dow INFUSE™ 9817 Olefin Block Copolymer;0.877;0.00231
Dow VERSIFY™ 4301 Elastomer;0.868;0.0041
DSM Arnitel CM551 TPC-ES, Heat Resistant Copolyester;1.24;0.14
DSM Arnitel CM600-V TPC-ES FR, Extrusion, Flame Retardant;1.32;0.42
DSM Arnitel CM622 TPC-ES, Extrusion, Flame Retardant;1.27;0.31
DSM Arnitel EB463 TPC-ET, Blow Molding Grade;1.15;0.065
DSM Arnitel EB464 TPC-ET, Blow Molding Grade;1.15;0.067
DSM Arnitel EM550 TPC-ET, Extrusion Grade;1.2;0.2
DSM Arnitel EM631 TPC-ET, Extrusion Grade;1.24;0.31
DSM Arnitel EM740 TPC-ET, Extrusion Grade;1.29;1.0
DSM Arnitel PB420-B TPC-ET, Blow Molding Grade;1.18;0.07
DSM Arnitel PB582-H TPC-ET, Blow Molding Grade, Heat Stabilized;1.23;0.3
DSM Arnitel PM381 TPC-ET, Extrusion Grade;1.16;0.042
DSM Arnitel PM581 TPC-ET, Extrusion Grade;1.24;0.3
DSM Arnitel PM650 TPC-ET, Extrusion Grade;1.27;0.4
DSM Arnitel UM551 TPC-ES, 55 Shore D;1.26;0.2
DSM Arnitel UM551-V TPC-ES FR, Flame Retardant;1.28;0.25
DSM Arnitel UM552 TPC-ES, 55 Shore D;1.26;0.25
DSM Arnitel VT3104 TPC-ET, Extrusion Grade;1.16;0.06
DSM Arnitel VT3108 TPC-ET, Extrusion Grade;1.25;0.11
DSM Arnitel XG5855 TPC-ET, Extrusion Grade;1.13;0.056
DSM Arnitel XG5857 TPC-ET, Extrusion Grade;1.13;0.06
DSM Arnitel XG5858 TPC-ET, Extrusion Grade;1.1;0.055
DSM Arnitel XG6029 TPC-ET, Extrusion Grade;1.13;0.045
DSM Arnitel PM460-H TPC-ET;1.21;0.12
DSM Arnitel EM631-HB TPC-ET;1.23;0.26
DSM Arnitel EM400-BP TPC-ET;1.11;0.05
DSM Arnitel EL250 TPC-ET;1.08;0.025
DSM Arnitel EB463 41 Shore D, Blow Molding Grade Copolyester Elastomer (North America);1.15;0.115
DSM Arnitel EM550 55 Shore D, Extrusion Grade Copolyester Elastomer (North America);1.21;0.2
DSM Arnitel EM630 63 Shore D, Extrusion Grade Copolyester Elastomer (North America);1.23;0.31
DSM Arnitel EM740 74 Shore D, Extrusion Grade Copolyester Elastomer (North America);1.27;0.9
DSM Arnitel PM471 45 Shore D, Extrusion Grade Copolyester Elastomer (North America);1.2;0.175
DSM Arnitel PM650 General Purpose Grade Copolyester Elastomer (North America);1.26;0.52
DSM Arnitel EM460 Polyether Ester Elastomer (European and Asian Grade);1.16;0.1
DSM Arnitel PL420-H Polyether Ester Elastomer (European and Asian Grade);1.18;0.1
DSM Arnitel PL461 Polyether Ester Elastomer (European and Asian Grade);1.21;0.165
DSM Arnitel PL650 Polyether Ester Elastomer (European and Asian Grade);1.26;0.57
DuPont Performance Polymers Hytrel 6356BKB High Performance Polyester Elastomer;1.22;0.28
DuPont Performance Polymers Hytrel 3046 NC010 TPC-ET;1.07;0.024
DuPont Performance Polymers Hytrel 3078 TPC-ET;1.07;0.023
DuPont Performance Polymers Hytrel 4053FG NC010 TPC-ET;1.16;0.056
DuPont Performance Polymers Hytrel 4053FGF NC010 TPC-ET;1.15;0.055
DuPont Performance Polymers Hytrel 4068 TPC-ET;1.11;0.045
DuPont Performance Polymers Hytrel 4556 TPC-ET;1.14;0.085
DuPont Performance Polymers Hytrel 5526 TPC-ET;1.19;0.19
DuPont Performance Polymers Hytrel 5553FG NC010 TPC-ET;1.2;0.17
DuPont Performance Polymers Hytrel 5556 TPC-ET;1.19;0.18
DuPont Performance Polymers Hytrel 6359FG NC010 TPC-ET;1.22;0.26
DuPont Performance Polymers Hytrel 7246 TPC-ET;1.26;0.55
DuPont Performance Polymers Hytrel 7246HS BK320 TPC-ET;1.25;0.51
DuPont Performance Polymers Hytrel 7246HS NC010 TPC-ET;1.25;0.48
DuPont Performance Polymers Hytrel 8238 TPC-ET;1.28;1.2
DuPont Performance Polymers Hytrel DYM250S BK472 TPC-ET+PBT;1.16;0.295
DuPont Performance Polymers Hytrel DYM350BK TPC-ET+PBT;1.18;0.37
DuPont Performance Polymers Hytrel G3548 NC010 TPC-ET;1.15;0.025
DuPont Performance Polymers Hytrel G4074 TPC-ET;1.18;0.055
DuPont Performance Polymers Hytrel G4078LS NC010 TPC-ET;1.18;0.054
DuPont Performance Polymers Hytrel G4774 TPC-ET;1.19;0.11
DuPont Performance Polymers Hytrel G5544 TPC-ET;1.22;0.2
DuPont Performance Polymers Hytrel HTR237BG BK320 TPC-ET;1.15;0.09
DuPont Performance Polymers Hytrel HTR4275 BK316 TPC-ET;1.17;0.16
DuPont Performance Polymers Hytrel HTR6108 TPC-ET;1.25;0.19
DuPont Performance Polymers Hytrel HTR8068 TPC-ET-FR(17);1.43;0.14
DuPont Performance Polymers Hytrel HTR8163HVBK TPC-ET;1.23;0.34
DuPont Performance Polymers Hytrel HTR8206 TPC-ET;1.19;0.08
DuPont Performance Polymers Hytrel HTR8223 BK320 TPC-ET;1.13;0.07
DuPont Performance Polymers Hytrel HTR8241 TPC-ET;1.24;0.36
DuPont Performance Polymers Hytrel HTR8341C BK320 TPC-ET;1.14;0.08
DuPont Performance Polymers Hytrel HTR8351 NC021 TPC-ET;1.15;0.017
DuPont Performance Polymers Hytrel HTR8685 BK022A TPC-ET;1.15;0.1
DuPont Performance Polymers Hytrel HTR8724 BK320 TPC-ET;1.16;0.11
DuPont Performance Polymers Hytrel HTR8808 BK316 TPC-ET-I;1.07;0.27
DuPont Performance Polymers Hytrel HTR8813 BK320 Polyester Elastomer;1.23;0.45
Dow AFFINITY™ SE 1400 Polyolefin Plastomer;0.895;0.172
Dow AFFINITY™ SM 1300 Polyolefin Plastomer;0.902;0.095
Dow AFFINITY™ SM 1350 Polyolefin Plastomer;0.913;0.178
Dow AFFINITY™ SM 8250 Polyolefin Plastomer;0.885;0.0372
Dow AFFINITY™ VP 8770 Polyolefin Plastomer;0.885;0.0221
Eastman Neostar FN005 Elastomer;1.13;0.17
Ecomass Ecomass 5033ZC87 SS Powder filled Styrene Isoprene Styrene (SIS);3.9;0.662
Ecomass Ecomass 5033ZS87 SS/Tungsten Powder filled Styrene Isoprene Styrene (SIS);4.5;0.683
Ecomass Ecomass 5033ZS91 SS/Tungsten Powder filled Styrene Isoprene Styrene (SIS);6.0;0.669
Encom Polymers EnLast 5A TPE;0.92;0.001
LyondellBasell Hifax TYC007P BLK Thermoplastic Olefinic Elastomer, mineral Filled;1.05;2.0
LyondellBasell Hostacom TRC104NB NATRL Thermoplastic Olefinic Elastomer;1.04;2.1
Green Dot Terratek Flex GDH-B1 Compostable Bioplastic Elastomer;1.23;0.0044
Gromax 1155LL TPE;1.19;0.421
Gromax 1163LL TPE;1.23;0.511
Gromax 1172LL TPE;1.28;0.854
Avient OnFlex™ BIO 5170D-E0010 Thermoplastic Elastomer (TPE);1.34;1.2
Avient OnFlex™ BIO 5180D-E0014 Thermoplastic Elastomer (TPE);1.45;2.5
Celanese Riteflex 640 Thermoplastic Polyester Elastomer (TPE);1.15;0.092
Celanese Riteflex 655 Thermoplastic Polyester Elastomer (TPE);1.19;0.24
Celanese Riteflex 635 Thermoplastic Polyester Elastomer (TPE);1.14;0.06
Celanese Riteflex 647 Thermoplastic Polyester Elastomer (TPE);1.17;0.14
Röhm Plexiglas 99530 Crystal Clear Elastomer Based Film;1.15;2.0
Röhm Plexiglas 99845 Crystal Clear Elastomer Based Film;1.13;1.0
Evonik Vestamid E47-S3 Heat & Light Stabilized Nylon 12/PEBA Elastomer;1.02;0.12
Evonik Vestamid E55-S3 Heat & Light Stabilized Nylon 12/PEBA Elastomer;1.03;0.23
Evonik Vestamid E62-S3 Heat & Light Stabilized Nylon 12/PEBA Elastomer;1.03;0.37
Evonik Vestamid E62-S3 Heat & Light Stabilized Nylon 12/PEBA Elastomer for Fiber Optic Jacketing;1.01;0.36
Evonik Vestamid EX9200 Heat & Light Stabilized Nylon 12/PEBA Elastomer;1.01;0.7
KKPC KOSYN KTR 101 Thermoplastic Elastomer (TPE);0.94;0.022
KKPC KOSYN KTR 201 Thermoplastic Elastomer (TPE);0.94;0.021
KKPC KOSYN KTR 302 Thermoplastic Elastomer (TPE);0.94;0.018
KKPC KOSYN KTR 401 Thermoplastic Elastomer (TPE);0.94;0.028
KKPC KOSYN KTR 601 Thermoplastic Elastomer (TPE);0.95;0.045
KKPC KOSYN KTR 602 Thermoplastic Elastomer (TPE);0.95;0.068
Lubrizol Advanced Materials Stat-Rite S-403 Olefin Block Copolymer;1.06;1.86
Lubrizol ESTALOC 59010 Polyester-Type, Reinforced Engineering Thermoplastic Polyurethane;1.44;0.621
Lubrizol ESTALOC 59300 Polyester-Type, Reinforced Engineering Thermoplastic Polyurethane;1.45;3.65
Lubrizol ESTALOC 59600 Polyester-Type, Reinforced Engineering Thermoplastic Polyurethane;1.66;5.5
Lubrizol ESTALOC 60155 Polyester-Type, Reinforced Engineering Thermoplastic Polyurethane;1.32;0.552
Lubrizol ESTALOC 59003 Ester-Type, Reinforced Engineering Thermoplastic;1.28;0.658
Lubrizol ESTALOC 59200 Ester-Type, Reinforced Engineering Thermoplastic;1.44;2.88
Lubrizol ESTALOC 60204 Polyester-Type, Reinforced Engineering Thermoplastic Polyurethane;1.31;1.9
Lubrizol ESTALOC T514 Ester-Type, Reinforced Engineering Thermoplastic;1.35;2.37
Lubrizol ESTALOC T5160 Ether-Type, Reinforced Engineering Thermoplastic;1.41;3.35
Lubrizol ESTANE GP52DB Ester Based Thermoplastic Polyurethane;1.23;0.87
Lubrizol ESTANE GP60DB Ester Based Thermoplastic Polyurethane;1.23;0.139
Lubrizol ESTANE GP65DE Ester Based Thermoplastic Polyurethane;1.26;0.249
Lubrizol ESTANE GP72DB Ester Based Thermoplastic Polyurethane;1.24;0.283
Lubrizol ESTANE GP75AE Ester Based Thermoplastic Polyurethane;1.22;0.006
Lubrizol ESTANE GP80AB Ester Based Thermoplastic Polyurethane;1.2;0.013
Lubrizol ESTANE GP85AB Ester Based Thermoplastic Polyurethane;1.2;0.017
Lubrizol ESTANE GP85AE Ester Based Thermoplastic Polyurethane;1.23;0.015
Lubrizol ESTANE GP92AT Ether Based Thermoplastic Polyurethane;1.14;0.045
Lubrizol ESTANE GP95AB Ester Based Thermoplastic Polyurethane;1.22;0.058
Lubrizol ESTANE GP95AE Ester Based Thermoplastic Polyurethane;1.24;0.057
NYCOA NY-FLEX CT 180 Nylon-Based TPE;1.11;1.12
NYCOA NY-FLEX CT 176 Nylon-Based TPE;1.1;0.91
NYCOA NY-FLEX CT 172 Nylon-Based TPE;1.09;0.59
NYCOA NY-FLEX CT 164 Nylon-Based TPE;1.09;0.27
NYCOA NY-FLEX CT 155 Nylon-Based TPE;1.06;0.14
NYCOA NY-FLEX CT 145 Nylon-Based TPE;1.04;0.09
Premix Thermoplastics PRESEAL TPE 5010;2.34;0.0035
Premix Thermoplastics PRESEAL TPE 5020;2.34;0.0024
Premix Thermoplastics PRESEAL TPE 6070;1.85;0.0025
Premix Thermoplastics PRESEAL TPE 6071;1.85;0.004
Premix Thermoplastics PRESEAL TPE 6080;1.85;0.0
RTP Company RTP 1205 S-75D Ester-based Thermoplastic Polyurethane Elastomer (TPUR/TPU) Glass Fiber;1.44;3.1
RTP Company RTP 1203 S-90A Ester-based Thermoplastic Polyurethane Elastomer (TPUR/TPU) Glass Fiber;1.35;0.552
RTP Company RTP 1207 S-65D UV Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced - UV Stabilized;1.54;3.1
RTP Company RTP 1500-55D TFE 15 Polyether-Ester Block Copolymer (TEEE / COPE), PTFE Lubricated;1.29;0.276
RTP Company RTP 1205 S-80A Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber;1.42;1.03
RTP Company RTP 1207 S-65D Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber;1.54;2.76
RTP Company RTP 1201 S-55D Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced;1.28;0.621
RTP Company RTP 1201 S-90A Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber;1.27;0.345
RTP Company RTP 1201 T-70A Ether-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced;1.14;0.0689
RTP Company RTP 1203 T-70A Ether-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced;1.18;0.138
RTP Company RTP 1205 T-70A Ether-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced;1.27;0.0689
RTP Company RTP 1205 S-65D Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber;1.45;2.76
RTP Company RTP 1299 X 101066 Ether-based Thermoplastic Polyurethane Elastomer, Glass Bubbles;0.93;0.345
RTP Company RTP 1203 S-65D Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber Reinforced;1.36;1.86
RTP Company RTP 1500-40D Polyether-Ester Block Copolymer (TEEE / COPE);1.15;0.0689
RTP Company RTP 1201 S-65D Ester-based Thermoplastic Polyurethane Elastomer, Glass Fiber;1.29;0.758
Aaron Industries AAROPRENE ATPR 1000 50A Elastomeric Compound;1.05;0.00193
Aaron Industries AAROPRENE ATPR 1000 60A Elastomeric Compound;1.05;0.00207
Aaron Industries AAROPRENE ATPR 1000 70A Elastomeric Compound;1.05;0.00276
Aaron Industries AAROPRENE ATPR 1000 80A Elastomeric Compound;1.05;0.0031
Aaron Industries AAROPRENE ATPR ECATPR2040 Black Thermoplastic SEBS Rubber;1.03;1.38
SABIC LNP™ THERMOCOMP™ YF003S TPE (Global);1.3;1.5
SABIC LNP™ LUBRICOMP™ YP003 TPE (Americas);1.27;0.2
SABIC LNP™ LUBRICOMP™ YL003 TPE (Americas);1.27;0.23
SABIC LNP™ LUBRICOMP™ YL003 TPE (Europe);1.28;0.18
SABIC LNP™ STAT-LOY™ YX02589C TPE (Global);1.08;0.04
SABIC LNP™ LUBRICOMP™ YL003C TPE (Global);1.27;0.27
SABIC FLEX NORYL™ WCV072 PPE+TPE (Europe);1.03;1.73
SABIC FLEX NORYL™ WCV063 PPE+TPE (Asia);1.03;0.76
SABIC LNP™ THERMOCOMP™ YF006A TPE (Global);1.43;3.2
Seals Eastern 7202 Nitrile Rubber;1.19;0.00862
Seals Eastern 7168 Nitrile Rubber;1.28;0.0237
Seals Eastern 7157 Nitrile Rubber;1.29;0.0347
Seals Eastern 5400 Nitrile Rubber;1.13;0.00357
Seals Eastern 5401 Nitrile Rubber;1.25;0.00511
Seals Eastern 5403 Nitrile Rubber;1.22;0.0105
Seals Eastern 5483 Nitrile Rubber;1.32;0.00776
Seals Eastern 5484 Nitrile Rubber;1.3;0.015
Seals Eastern 7345 Highly Saturated Nitrile Rubber;1.14;0.0103
Seals Eastern 7336 Highly Saturated Nitrile Rubber;1.18;0.0138
Seals Eastern 7344 Highly Saturated Nitrile Rubber;1.18;0.0308
BASF Elastollan C-85A Polyester Type Polyurethane Elastomer;1.19;0.02
BASF Elastollan C-95A Polyester Type Polyurethane Elastomer;1.21;0.15
BASF Elastollan C-64D Polyester Type Polyurethane Elastomer;1.24;0.4
BASF Elastollan 1185A Polyether Type Polyurethane Elastomer;1.12;0.025
BASF Elastollan 1195A Polyether Type Polyurethane Elastomer;1.14;0.065
BASF Elastollan 1164D Polyether Type Polyurethane Elastomer;1.18;0.28
Teknor Apex Sarlink TPV 11044DB Thermoplastic Vulcanizate;0.96;0.173
Mitsubishi Chemical Advanced Materials Nylon 612 (ASTM Data);1.1;2.92
Akro-Plastic Akromid D3 GF 30 1 black (5392) Nylon 612, 30% Glass Fiber Filler;1.31;8.25
Akro-Plastic Akromid D3 GF 30 1 LT black (5391) Nylon 612, 30% Glass Fiber Filler;1.31;7.95
Arkema Rilsamid DECNO PA612;1.06;1.7
Arkema Rilsamid DZM 30 BLACK TL PA612-GF30;1.28;7.8
Bada BADAMID PA612 natural PA612, Dry;1.07;2.3
Bada BADAMID PA612 natural PA612, Conditioned;1.07;1.8
Bada BADAMID PA612 H UV natural S1 PA612, Dry;1.03;2.0
Bada BADAMID PA612 GF30 H natural PA612, 30% Glass Fiber Reinforced, Dry;1.3;8.3
Bada BADAMID PA612 GF30 H natural PA612, 30% Glass Fiber Reinforced, Conditioned;1.3;7.8
Bada BADAMID PA612 GF33 natural PA612, 33% Glass Fiber Reinforced, Dry;1.32;9.5
Bada BADAMID PA612 GF33 natural PA612, 33% Glass Fiber Reinforced, Conditioned;1.32;7.9
Bada BADAMID PA612 GF50 natural PA612, 50% Glass Fiber Reinforced, Dry;1.51;13.8
Bada BADAMID PA612 GF50 natural PA612, 50% Glass Fiber Reinforced, Conditioned;1.51;11.9
Bada BADAMID PA612 GM30 H natural PA612, 30% Glass Fiber Reinforced, Dry;1.26;4.9
Bada BADAMID PA612 GF30 TM-Z2 natural PA612, 30% Glass Fiber Reinforced, Dry;1.25;7.5
Bada BADAMID PA612 GF30 TM-Z2 natural PA612, 30% Glass Fiber Reinforced, Conditioned;1.25;6.5
